name, nitg, filter, code, refpnt, top, bottom, logger, refpnt, depth, baro, file, begin, end, days, points
30DL0050,B30D0274,1,B30D0274/001,2.816,2.31,2.81,P5964,2.816,3.04,"Meteostation Hoek van Holland  - P","b30d0274-001_170118150227_P5964.MON",18-10-2016 12:00,18-01-2017 14:00,92,2211
30DL0051,B30D0275,1,B30D0275/001,2.117,2.25,2.75,D9100,2.117,2.55,"Meteostation Hoek van Holland  - P","b30d0275-001_D9100_160323143830.MON",15-12-2015 05:00,23-03-2016 13:00,99,2385
30DL0051,B30D0275,1,B30D0275/001,2.117,2.25,2.75,D9100,2.117,3.04,"Meteostation Hoek van Holland  - P","b30d0275-001_160706142603_D9100.MON",23-03-2016 15:00,06-07-2016 12:00,104,2518
30DL0051,B30D0275,1,B30D0275/001,2.117,2.25,2.75,D9100,2.117,3.04,"Meteostation Hoek van Holland  - P","b30d0275-001_161018130421_D9100.MON",06-07-2016 13:00,18-10-2016 11:00,103,2495
30DL0051,B30D0275,1,B30D0275/001,2.117,2.25,2.75,D9100,2.117,3.04,"Meteostation Hoek van Holland  - P","b30d0275-001_170118145421_D9100.MON",18-10-2016 12:00,18-01-2017 13:00,92,2210
30DL0052,B30D0277,1,B30D0277/001,2.372,1.62,2.12,P6096,2.372,1.97,"Meteostation Hoek van Holland  - P","b30d0277-001_P6096_160323132907.MON",15-12-2015 05:00,23-03-2016 12:00,99,2384
30DL0052,B30D0277,1,B30D0277/001,2.372,1.62,2.12,P6096,2.372,2.62,"Meteostation Hoek van Holland  - P","b30d0277-001_160706140108_P6096.MON",23-03-2016 14:00,06-07-2016 12:00,104,2519
30DL0052,B30D0277,1,B30D0277/001,2.372,1.62,2.12,P6096,2.372,2.62,"Meteostation Hoek van Holland  - P","b30d0277-001_161018125822_P6096.MON",06-07-2016 13:00,18-10-2016 10:00,103,2494
30DL0052,B30D0277,1,B30D0277/001,2.372,1.62,2.12,P6096,2.372,2.62,"Meteostation Hoek van Holland  - P","b30d0277-001_170118152610_P6096.MON",18-10-2016 11:00,18-01-2017 14:00,92,2212
30DL0057,B30D0289,1,B30D0289/001,3.266,0.196,0.696,P5990,3.266,1.11,"Meteostation Hoek van Holland  - P","b30d0289-001_P5990_160324141019.MON",15-12-2015 05:00,24-03-2016 13:00,100,2409
30DL0057,B30D0289,1,B30D0289/001,3.266,0.196,0.696,P5990,3.266,1.98,"Meteostation Hoek van Holland  - P","b30d0289-001_160706144156_P5990.MON",24-03-2016 14:00,06-07-2016 12:00,103,2495
30DL0057,B30D0289,1,B30D0289/001,3.266,0.196,0.696,P5990,3.266,1.98,"Meteostation Hoek van Holland  - P","b30d0289-001_161018131622_P5990.MON",06-07-2016 13:00,18-10-2016 11:00,103,2495
30DL0057,B30D0289,1,B30D0289/001,3.266,0.196,0.696,P5990,3.266,1.98,"Meteostation Hoek van Holland  - P","b30d0289-001_170118151431_P5990.MON",18-10-2016 12:00,18-01-2017 14:00,92,2211
30EP0119,B30E0119,1,B30E0119/001,2.001,19.1,20.01,P5971,2.001,5.11,"Meteostation Valkenburg  - P","b30e0119-001_P5971_160331080914.MON",15-12-2015 05:00,31-03-2016 06:00,107,2570
30EP0119,B30E0119,1,B30E0119/001,2.001,19.1,20.01,P5971,2.001,5.11,"Meteostation Valkenburg  - P","b30e0119-001_161020142425_P5971.MON",31-03-2016 07:00,20-10-2016 12:00,203,4878
30EP0119,B30E0119,1,B30E0119/001,2.001,19.1,20.01,P5971,2.001,5.11,"Meteostation Valkenburg  - P","b30e0119-001_170120120559_P5971.MON",20-10-2016 13:00,20-01-2017 11:00,91,2207
30EP0120,B30E0120,1,B30E0120/001,10.523,10.51,11.51,M0485,10.523,10.46,"Meteostation Valkenburg  - P","b30e0120-001_M0485_160331074031.MON",15-12-2015 05:00,31-03-2016 05:00,107,2569
30EP0120,B30E0120,1,B30E0120/001,10.523,10.51,11.51,M0485,10.523,10.46,"Meteostation Valkenburg  - P","b30e0120-001_160708132932_M0485.MON",31-03-2016 06:00,08-07-2016 11:00,99,2382
30EP0120,B30E0120,1,B30E0120/001,10.523,10.51,11.51,M0485,10.523,10.46,"Meteostation Valkenburg  - P","b30e0120-001_161020140757_M0485.MON",08-07-2016 12:00,20-10-2016 12:00,104,2497
30EP0120,B30E0120,1,B30E0120/001,10.523,10.51,11.51,M0485,10.523,10.46,"Meteostation Valkenburg  - P","b30e0120-001_170120111833_M0485.MON",20-10-2016 13:00,20-01-2017 10:00,91,2206
30EP0120,B30E0120,3,B30E0120/003,10.485,38.26,39.26,H6385,10.485,15.05,"Meteostation Valkenburg  - P","b30e0120-003_H6385_160331073524.MON",15-12-2015 05:00,31-03-2016 05:00,107,2569
30EP0120,B30E0120,3,B30E0120/003,10.485,38.26,39.26,H6385,10.485,15.05,"Meteostation Valkenburg  - P","b30e0120-003_160708133107_H6385.MON",31-03-2016 06:00,08-07-2016 11:00,99,2382
30EP0120,B30E0120,3,B30E0120/003,10.485,38.26,39.26,H6385,10.485,15.05,"Meteostation Valkenburg  - P","b30e0120-003_161020140917_H6385.MON",08-07-2016 12:00,20-10-2016 12:00,104,2497
30EP0120,B30E0120,3,B30E0120/003,10.485,38.26,39.26,H6385,10.485,15.05,"Meteostation Valkenburg  - P","b30e0120-003_170120113228_H6385.MON",20-10-2016 13:00,28-11-2016 09:00,38,933
30EL0015,B30E0319,1,B30E0319/001,7.833,7.31,8.31,P8055,7.833,5.99,"Meteostation Valkenburg  - P","b30e0319-001_P8055_160330183059.MON",15-12-2015 05:00,30-03-2016 16:00,106,2556
30EL0015,B30E0319,1,B30E0319/001,7.833,7.31,8.31,P8055,7.833,7.6,"Meteostation Valkenburg  - P","b30e0319-001_160708130710_P8055.MON",30-03-2016 17:00,08-07-2016 11:00,99,2395
30EL0015,B30E0319,1,B30E0319/001,7.833,7.31,8.31,P8055,7.833,7.6,"Meteostation Valkenburg  - P","b30e0319-001_161020133230_P8055.MON",08-07-2016 12:00,20-10-2016 11:00,103,2496
